
using device: mps
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
./train_get2.py:330: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
step138 | loss: 4.949112892150879 | dt: 2801.86ms | tok/sec:  5847.55 | norm: 1.32
step139 | loss: 4.723026275634766 | dt: 2663.49ms | tok/sec:  6151.33 | norm: 1.23
step140 | loss: 5.172345161437988 | dt: 2559.15ms | tok/sec:  6402.11 | norm: 1.32
step141 | loss: 4.8273396492004395 | dt: 2589.80ms | tok/sec:  6326.36 | norm: 1.21
step142 | loss: 4.9605865478515625 | dt: 2554.60ms | tok/sec:  6413.54 | norm: 1.23
step143 | loss: 4.775479316711426 | dt: 2587.78ms | tok/sec:  6331.29 | norm: 1.46
step144 | loss: 4.647151947021484 | dt: 2558.05ms | tok/sec:  6404.89 | norm: 1.07
step145 | loss: 4.850644111633301 | dt: 2584.36ms | tok/sec:  6339.66 | norm: 1.70
step146 | loss: 5.121086120605469 | dt: 2561.87ms | tok/sec:  6395.34 | norm: 1.32
step147 | loss: 4.902902126312256 | dt: 2591.64ms | tok/sec:  6321.86 | norm: 1.65
step148 | loss: 4.9501447677612305 | dt: 2554.81ms | tok/sec:  6413.00 | norm: 1.50
step149 | loss: 4.831490516662598 | dt: 2599.01ms | tok/sec:  6303.93 | norm: 1.43
step150 | loss: 4.815201282501221 | dt: 2577.86ms | tok/sec:  6355.65 | norm: 1.53
step151 | loss: 4.8090739250183105 | dt: 2574.23ms | tok/sec:  6364.61 | norm: 1.35
step152 | loss: 4.677282810211182 | dt: 2587.64ms | tok/sec:  6331.65 | norm: 1.01
step153 | loss: 5.071202754974365 | dt: 2574.62ms | tok/sec:  6363.67 | norm: 1.77
step154 | loss: 5.162715911865234 | dt: 2577.74ms | tok/sec:  6355.96 | norm: 1.32
step155 | loss: 4.851230144500732 | dt: 2604.68ms | tok/sec:  6290.21 | norm: 1.85
step156 | loss: 4.710318088531494 | dt: 2591.67ms | tok/sec:  6321.79 | norm: 1.39
step157 | loss: 4.698785781860352 | dt: 2591.99ms | tok/sec:  6321.02 | norm: 1.51
step158 | loss: 4.6574907302856445 | dt: 2577.65ms | tok/sec:  6356.17 | norm: 1.52
step159 | loss: 4.445523262023926 | dt: 2584.74ms | tok/sec:  6338.73 | norm: 1.50
step160 | loss: 4.887514114379883 | dt: 2582.73ms | tok/sec:  6343.67 | norm: 1.43
step161 | loss: 4.580893516540527 | dt: 2588.78ms | tok/sec:  6328.86 | norm: 1.54
step162 | loss: 4.7100629806518555 | dt: 2580.50ms | tok/sec:  6349.16 | norm: 1.26
step163 | loss: 4.532001495361328 | dt: 2587.32ms | tok/sec:  6332.42 | norm: 1.09
step164 | loss: 4.381963729858398 | dt: 2601.68ms | tok/sec:  6297.48 | norm: 1.31
step165 | loss: 4.645289421081543 | dt: 2614.69ms | tok/sec:  6266.13 | norm: 1.16
step166 | loss: 4.840241432189941 | dt: 2600.37ms | tok/sec:  6300.64 | norm: 1.55
step167 | loss: 4.648398399353027 | dt: 2595.87ms | tok/sec:  6311.57 | norm: 1.27
step168 | loss: 4.736746311187744 | dt: 2566.95ms | tok/sec:  6382.66 | norm: 1.54
step169 | loss: 4.59824275970459 | dt: 2572.58ms | tok/sec:  6368.69 | norm: 1.41
step170 | loss: 4.585003852844238 | dt: 2571.42ms | tok/sec:  6371.57 | norm: 1.29
step171 | loss: 4.588437080383301 | dt: 2583.19ms | tok/sec:  6342.54 | norm: 1.61
step172 | loss: 4.428871154785156 | dt: 2583.06ms | tok/sec:  6342.86 | norm: 1.16
step173 | loss: 4.8616485595703125 | dt: 2575.20ms | tok/sec:  6362.22 | norm: 1.60
step174 | loss: 4.933579444885254 | dt: 2574.12ms | tok/sec:  6364.88 | norm: 1.48
step175 | loss: 4.70301628112793 | dt: 2587.92ms | tok/sec:  6330.95 | norm: 1.44
step176 | loss: 4.512024402618408 | dt: 2569.60ms | tok/sec:  6376.10 | norm: 1.28
step177 | loss: 4.500561714172363 | dt: 2568.26ms | tok/sec:  6379.40 | norm: 1.62
step178 | loss: 4.46337890625 | dt: 2571.94ms | tok/sec:  6370.28 | norm: 1.52
step179 | loss: 4.272578716278076 | dt: 2559.73ms | tok/sec:  6400.69 | norm: 2.08
step180 | loss: 4.677233695983887 | dt: 2561.98ms | tok/sec:  6395.05 | norm: 1.74
step181 | loss: 4.426223278045654 | dt: 2577.34ms | tok/sec:  6356.93 | norm: 2.48
step182 | loss: 4.5209197998046875 | dt: 2547.37ms | tok/sec:  6431.74 | norm: 2.17
step183 | loss: 4.328510761260986 | dt: 2580.97ms | tok/sec:  6347.99 | norm: 1.80
step184 | loss: 4.237826824188232 | dt: 2564.03ms | tok/sec:  6389.95 | norm: 1.78
step185 | loss: 4.409707069396973 | dt: 2554.99ms | tok/sec:  6412.56 | norm: 1.52
step186 | loss: 4.637506484985352 | dt: 2544.71ms | tok/sec:  6438.46 | norm: 1.44
step187 | loss: 4.41156530380249 | dt: 2554.34ms | tok/sec:  6414.17 | norm: 1.82
step188 | loss: 4.5176239013671875 | dt: 2588.73ms | tok/sec:  6328.98 | norm: 1.38
step189 | loss: 4.385501384735107 | dt: 2564.11ms | tok/sec:  6389.74 | norm: 1.78
step190 | loss: 4.361992835998535 | dt: 2540.66ms | tok/sec:  6448.72 | norm: 1.64
step191 | loss: 4.391570091247559 | dt: 2560.52ms | tok/sec:  6398.71 | norm: 1.34
step192 | loss: 4.19710636138916 | dt: 2554.92ms | tok/sec:  6412.73 | norm: 1.43
step193 | loss: 4.662953853607178 | dt: 2545.36ms | tok/sec:  6436.80 | norm: 1.84
step194 | loss: 4.713014602661133 | dt: 2545.06ms | tok/sec:  6437.56 | norm: 1.51
step195 | loss: 4.474688529968262 | dt: 2546.84ms | tok/sec:  6433.07 | norm: 1.48
step196 | loss: 4.295395374298096 | dt: 2537.16ms | tok/sec:  6457.60 | norm: 1.88
step197 | loss: 4.3098931312561035 | dt: 2724.10ms | tok/sec:  6014.46 | norm: 1.59
step198 | loss: 4.26358699798584 | dt: 2552.47ms | tok/sec:  6418.88 | norm: 2.14
step199 | loss: 4.115871429443359 | dt: 2551.91ms | tok/sec:  6420.28 | norm: 1.71
Checkpoint saved at epoch 200
step200 | loss: 4.515689373016357 | dt: 2669.58ms | tok/sec:  6137.29 | norm: 2.30
step201 | loss: 4.289207935333252 | dt: 2527.76ms | tok/sec:  6481.63 | norm: 1.63
step202 | loss: 4.369487762451172 | dt: 2527.06ms | tok/sec:  6483.42 | norm: 1.76
step203 | loss: 4.172017574310303 | dt: 2520.34ms | tok/sec:  6500.70 | norm: 1.78
step204 | loss: 4.05602502822876 | dt: 2509.71ms | tok/sec:  6528.25 | norm: 1.71
step205 | loss: 4.224016189575195 | dt: 2535.64ms | tok/sec:  6461.49 | norm: 1.93
step206 | loss: 4.412408351898193 | dt: 2518.87ms | tok/sec:  6504.49 | norm: 1.76
step207 | loss: 4.2746429443359375 | dt: 2535.98ms | tok/sec:  6460.63 | norm: 1.77
step208 | loss: 4.290700912475586 | dt: 2501.49ms | tok/sec:  6549.70 | norm: 1.64
step209 | loss: 4.234197616577148 | dt: 2513.56ms | tok/sec:  6518.24 | norm: 1.80
step210 | loss: 4.193099021911621 | dt: 2510.77ms | tok/sec:  6525.49 | norm: 1.77
step211 | loss: 4.176774978637695 | dt: 2526.47ms | tok/sec:  6484.94 | norm: 1.83
step212 | loss: 3.9986653327941895 | dt: 2490.39ms | tok/sec:  6578.90 | norm: 1.48
step213 | loss: 4.464445114135742 | dt: 2477.53ms | tok/sec:  6613.04 | norm: 1.92
step214 | loss: 4.50352668762207 | dt: 2510.75ms | tok/sec:  6525.55 | norm: 2.00
step215 | loss: 4.2575860023498535 | dt: 2495.96ms | tok/sec:  6564.21 | norm: 1.64
